DateTime,Experiment,Iteration,RequestedAngle,RequestedSpeed,voltage,Correction,Deceleration,GyroStartAngle,GyroEndAngle,ActualStartAngle,ActualEndAngle,GyroError,ActualError,StartFoundRobot,EndFoundRobot
2024-05-08 23:06:16.303778,1,1,90,800,7966,0,500,0.0,86.59641,0,87.1224751596428,86.59641,87.1224751596428,True,True

2024-05-09 18:32:47.539132,1,1,90,800,7962,0,500,0.0,85.16669,0.0,87.03054615834007,85.16669,87.03054615834007,True,True
2024-05-09 18:44:33.495375,1,1,90,800,7952,0,500,0.0,85.03825,0.0,87.03054615834007,85.03825,87.03054615834007,True,True
2024-05-09 18:49:24.780289,1,1,90,800,7934,0,500,0.0,85.35738,0.0,87.03054615834007,85.35738,87.03054615834007,True,True
2024-05-09 20:27:22.166158,1,1,90,800,7901,0,500,0.0,86.54562,-0.0,87.03054615834007,86.54562,87.03054615834007,True,True
2024-05-09 20:29:17.752775,1,1,90,800,7896,0,500,0.0,85.00038,-0.0,87.03054615834007,85.00038,87.03054615834007,True,True
2024-05-09 20:58:42.096776,1,1,90,800,7884,0,500,0.0,85.68864,-0.0,87.03054615834007,85.68864,87.03054615834007,True,True
2024-05-09 21:05:59.480882,1,1,90,800,7865,0,500,0.0,84.09457,-0.0,87.03054615834007,84.09457,87.03054615834007,True,True
2024-05-09 21:14:02.486367,1,1,90,800,7856,0,500,0.0,87.07475,-0.0,87.03054615834007,87.07475,87.03054615834007,True,True
2024-05-09 21:22:28.302900,1,1,90,800,7844,0,500,0.0,84.37095,-0.0,87.03054615834007,84.37095,87.03054615834007,True,True
2024-05-09 21:56:34.850661,1,1,90,800,7822,0,500,0.0,86.25521,-0.0,87.03054615834007,86.25521,87.03054615834007,True,True
2024-05-10 23:39:24.645613,1,1,90,800,7804,0,500,0.0,89.88081,-0.0,87.03054615834007,89.88081,87.03054615834007,True,True
